"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-2-21","2,498.59","2,440.99","2,501.35","2,440.99","5.01B","2.51%"
"2025-2-20","2,437.34","2,433.82","2,446.54","2,414.40","3.66B","-0.06%"
"2025-2-19","2,438.87","2,381.89","2,440.51","2,380.85","3.84B","2.03%"
"2025-2-18","2,390.24","2,435.03","2,443.57","2,380.34","4.22B","-1.98%"
"2025-2-17","2,438.47","2,457.13","2,459.01","2,418.92","5.03B","0.51%"
"2025-2-14","2,426.07","2,383.39","2,434.93","2,383.27","4.09B","1.80%"
"2025-2-13","2,383.21","2,394.14","2,413.30","2,382.41","3.82B","-0.71%"
"2025-2-12","2,400.30","2,348.79","2,402.86","2,345.86","3.97B","1.81%"
"2025-2-11","2,357.56","2,390.60","2,390.60","2,355.08","3.63B","-1.43%"
"2025-2-10","2,391.66","2,391.56","2,396.32","2,361.96","4.31B","0.44%"
"2025-2-7","2,381.23","2,329.52","2,409.43","2,324.28","5.47B","2.53%"
"2025-2-6","2,322.52","2,255.40","2,322.57","2,251.82","4.12B","2.80%"
"2025-2-5","2,259.20","2,281.18","2,281.20","2,249.84","3.42B","-0.04%"
"2025-1-27","2,260.18","2,320.80","2,325.16","2,260.18","2.53B","-2.73%"
"2025-1-24","2,323.72","2,282.43","2,334.36","2,282.43","2.83B","1.46%"
"2025-1-23","2,290.26","2,325.25","2,353.89","2,290.26","3.17B","-0.37%"
"2025-1-22","2,298.71","2,301.77","2,309.50","2,276.87","2.29B","-0.54%"
"2025-1-21","2,311.13","2,325.00","2,325.00","2,286.98","2.24B","0.36%"
"2025-1-20","2,302.75","2,286.79","2,318.07","2,286.70","2.42B","1.81%"
"2025-1-17","2,261.77","2,233.80","2,279.19","2,233.66","2.24B","0.78%"
"2025-1-16","2,244.27","2,243.99","2,280.23","2,220.71","2.53B","0.66%"
"2025-1-15","2,229.59","2,258.63","2,258.63","2,223.73","2.37B","-1.82%"
"2025-1-14","2,270.97","2,176.48","2,272.28","2,165.26","3.45B","4.71%"
"2025-1-13","2,168.90","2,137.64","2,186.45","2,137.56","1.83B","0.36%"
"2025-1-10","2,161.07","2,195.26","2,214.81","2,161.07","2.11B","-1.76%"
"2025-1-9","2,199.75","2,182.41","2,215.77","2,182.29","1.97B","0.11%"
"2025-1-8","2,197.33","2,200.94","2,219.84","2,148.49","2.57B","-0.98%"
"2025-1-7","2,219.11","2,183.71","2,219.54","2,175.42","2.10B","0.70%"
"2025-1-6","2,203.61","2,208.05","2,224.48","2,189.03","1.98B","-0.09%"
"2025-1-3","2,205.56","2,256.36","2,261.84","2,205.55","2.62B","-2.16%"
"2025-1-2","2,254.21","2,337.89","2,338.69","2,232.26","3.20B","-3.79%"
"2024-12-31","2,343.00","2,409.28","2,414.90","2,343.00","2.93B","-2.93%"
"2024-12-30","2,413.77","2,405.65","2,427.39","2,404.85","2.47B","0.06%"
"2024-12-27","2,412.25","2,417.52","2,445.80","2,402.84","2.82B","-0.22%"
"2024-12-26","2,417.65","2,407.22","2,428.42","2,399.86","2.29B","0.39%"
