"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2015-9-7","9,991.76","10,121.83","10,404.22","9,933.54","12.80B","-0.63%"
"2015-9-2","10,054.80","9,694.48","10,319.49","9,682.71","15.48B","-1.06%"
"2015-9-1","10,162.52","10,388.50","10,388.50","9,954.58","15.01B","-3.67%"
"2015-8-31","10,549.16","10,706.23","10,706.23","10,398.33","15.05B","-2.32%"
"2015-8-28","10,800.00","10,397.97","10,826.19","10,311.37","17.80B","5.32%"
"2015-8-27","10,254.35","10,076.09","10,254.35","9,713.99","15.10B","3.58%"
"2015-8-26","9,899.72","10,199.90","10,559.24","9,776.21","17.86B","-2.92%"
"2015-8-25","10,197.94","10,212.47","10,529.92","10,168.42","13.48B","-7.04%"
"2015-8-24","10,970.29","11,399.66","11,446.10","10,964.09","11.64B","-7.83%"
"2015-8-21","11,902.05","12,355.27","12,511.42","11,891.84","14.44B","-5.42%"
"2015-8-20","12,584.58","12,864.83","13,040.36","12,582.24","14.93B","-2.90%"
"2015-8-19","12,960.66","12,328.60","13,028.50","12,049.92","17.28B","2.18%"
"2015-8-18","12,683.85","13,608.52","13,652.54","12,634.95","20.80B","-6.56%"
"2015-8-17","13,573.90","13,417.33","13,585.96","13,309.54","17.52B","0.95%"
"2015-8-14","13,445.87","13,497.16","13,606.33","13,378.59","16.82B","0.38%"
"2015-8-13","13,395.18","13,069.98","13,395.18","12,962.00","14.58B","2.12%"
"2015-8-12","13,117.10","13,201.54","13,396.33","13,117.10","14.27B","-1.55%"
"2015-8-11","13,323.08","13,316.89","13,508.30","13,240.09","18.39B","0.15%"
"2015-8-10","13,302.96","12,877.31","13,373.30","12,821.89","17.11B","4.31%"
"2015-8-7","12,753.05","12,543.66","12,769.13","12,522.47","12.50B","2.67%"
"2015-8-6","12,421.85","12,274.72","12,595.12","12,231.89","10.00B","-0.82%"
"2015-8-5","12,524.69","12,694.57","12,842.31","12,447.04","13.71B","-1.47%"
"2015-8-4","12,711.56","12,163.12","12,711.56","12,105.94","14.05B","4.52%"
"2015-8-3","12,161.58","12,178.57","12,305.61","11,909.00","13.72B","-1.72%"
"2015-7-31","12,374.25","12,228.41","12,580.96","12,213.46","12.74B","-0.17%"
"2015-7-30","12,395.92","12,766.34","12,988.56","12,382.30","15.93B","-3.33%"
"2015-7-29","12,823.07","12,472.27","12,823.15","12,078.32","15.73B","4.11%"
"2015-7-28","12,316.78","11,986.25","12,676.27","11,719.00","21.37B","-1.41%"
"2015-7-27","12,493.05","13,242.69","13,579.64","12,488.37","20.24B","-7.59%"
"2015-7-24","13,518.51","13,789.31","13,970.84","13,424.18","22.20B","-1.72%"
"2015-7-23","13,754.53","13,432.61","13,792.36","13,356.06","20.44B","2.52%"
"2015-7-22","13,416.54","13,307.93","13,482.04","13,098.81","18.16B","0.76%"
"2015-7-21","13,315.56","13,038.15","13,436.91","12,928.13","16.78B","0.86%"
"2015-7-20","13,202.40","13,115.48","13,427.86","12,942.94","20.02B","1.52%"
"2015-7-17","13,004.96","12,460.51","13,097.45","12,435.59","17.55B","5.24%"
"2015-7-16","12,357.61","11,963.35","12,600.65","11,637.47","17.69B","1.86%"
"2015-7-15","12,132.42","12,783.08","12,792.31","12,093.90","20.34B","-4.68%"
"2015-7-14","12,728.51","12,796.49","13,091.93","12,635.20","17.07B","0.91%"
"2015-7-13","12,614.16","12,367.62","12,658.07","12,261.25","14.98B","4.78%"
"2015-7-10","12,038.15","11,733.45","12,062.90","11,696.77","10.72B","4.59%"
"2015-7-9","11,510.34","10,953.33","11,513.36","10,933.00","12.26B","4.25%"
"2015-7-8","11,040.89","10,870.14","11,112.62","10,850.38","21.79B","-2.94%"
"2015-7-7","11,375.60","11,660.56","11,767.66","11,282.62","17.63B","-5.80%"
"2015-7-6","12,075.77","13,140.14","13,140.14","11,584.47","25.15B","-1.39%"
"2015-7-3","12,246.06","12,475.61","13,154.13","11,953.08","19.91B","-5.25%"
"2015-7-2","12,924.19","13,655.73","13,732.49","12,727.23","19.92B","-5.32%"
"2015-7-1","13,650.82","14,185.10","14,696.98","13,578.38","21.12B","-4.79%"
"2015-6-30","14,337.97","13,274.65","14,352.05","12,723.16","23.71B","5.69%"
"2015-6-29","13,566.27","14,703.97","14,712.16","13,250.35","22.94B","-5.78%"
"2015-6-26","14,398.78","15,196.56","15,229.00","14,321.05","18.71B","-8.24%"
"2015-6-25","15,692.44","16,370.00","16,399.34","15,499.22","20.28B","-3.80%"
"2015-6-24","16,312.31","16,178.55","16,345.75","15,867.91","20.92B","1.66%"
"2015-6-23","16,045.99","15,720.32","16,047.32","14,938.82","17.77B","2.04%"
"2015-6-19","15,725.47","16,386.98","16,578.88","15,700.49","17.99B","-6.03%"
"2015-6-18","16,734.84","17,367.13","17,442.77","16,709.60","16.41B","-3.85%"
"2015-6-17","17,405.57","17,073.08","17,474.08","16,564.37","18.28B","1.93%"
"2015-6-16","17,075.93","17,502.37","17,502.37","16,911.91","21.18B","-3.54%"
"2015-6-15","17,702.55","18,182.64","18,211.76","17,668.67","24.67B","-2.19%"
"2015-6-12","18,098.27","17,978.05","18,198.07","17,921.91","22.64B","1.17%"
"2015-6-11","17,889.69","17,692.90","17,889.91","17,606.43","20.70B","1.20%"
"2015-6-10","17,677.57","17,297.04","17,852.36","17,165.90","21.39B","1.60%"
"2015-6-9","17,399.00","17,410.64","17,609.28","17,184.32","20.97B","-0.31%"
"2015-6-8","17,452.31","17,648.72","17,648.72","17,145.70","25.06B","-1.11%"
"2015-6-5","17,649.09","17,727.86","17,901.86","17,302.56","26.06B","0.85%"
"2015-6-4","17,501.05","17,579.36","17,608.72","16,426.31","23.00B","-0.21%"
"2015-6-3","17,538.50","17,626.92","17,696.48","17,098.43","22.73B","0.30%"
"2015-6-2","17,485.58","17,051.22","17,485.58","16,963.74","21.88B","3.36%"
"2015-6-1","16,917.53","16,247.39","16,921.07","16,245.55","20.58B","5.07%"
"2015-5-29","16,100.45","15,920.33","16,386.06","15,299.65","23.20B","1.18%"
"2015-5-28","15,912.95","16,953.60","17,153.80","15,909.10","31.53B","-6.19%"
"2015-5-27","16,963.52","16,988.90","17,061.92","16,610.78","26.24B","0.36%"
"2015-5-26","16,903.47","16,456.23","16,904.15","16,397.50","26.87B","3.38%"
"2015-5-25","16,351.06","15,894.14","16,368.91","15,810.15","24.33B","1.90%"
"2015-5-22","16,045.80","16,084.04","16,191.15","15,731.01","24.67B","1.09%"
"2015-5-21","15,872.53","15,402.95","15,872.59","15,402.95","19.68B","3.49%"
"2015-5-20","15,337.08","15,206.56","15,618.13","15,206.56","21.17B","1.39%"
"2015-5-19","15,127.38","14,723.21","15,173.92","14,704.33","4.52B","3.10%"
"2015-5-18","14,672.63","14,612.88","14,759.09","14,564.73","3.85B","-0.15%"
"2015-5-15","14,694.95","14,955.41","14,955.41","14,590.76","5.17B","-2.19%"
"2015-5-14","15,024.47","15,210.75","15,299.79","15,003.72","6.23B","-0.98%"
"2015-5-13","15,173.09","15,075.02","15,245.81","14,962.38","5.56B","0.71%"
"2015-5-12","15,066.29","14,975.23","15,088.96","14,879.60","4.71B","0.81%"
"2015-5-11","14,944.88","14,572.82","14,946.65","14,447.78","5.19B","3.20%"
"2015-5-8","14,481.25","14,271.46","14,481.44","14,165.07","4.25B","2.60%"
"2015-5-7","14,114.73","14,080.35","14,226.08","14,027.60","3.97B","-0.15%"
"2015-5-6","14,136.17","14,347.55","14,569.65","14,032.02","4.58B","-0.68%"
"2015-5-5","14,233.10","14,831.91","14,831.91","14,145.50","5.78B","-4.22%"
"2015-5-4","14,860.53","14,846.48","14,958.79","14,714.91","5.24B","0.28%"
"2015-4-30","14,818.64","14,909.06","15,009.73","14,818.64","4.89B","-0.36%"
"2015-4-29","14,871.95","14,669.22","14,907.96","14,542.32","5.15B","1.12%"
"2015-4-28","14,707.25","14,946.95","14,979.81","14,580.42","6.36B","-0.69%"
"2015-4-27","14,809.42","14,749.02","14,910.31","14,644.01","6.26B","1.44%"
"2015-4-24","14,598.69","14,615.53","14,771.29","14,422.54","6.65B","-0.98%"
"2015-4-23","14,743.22","14,842.20","14,893.01","14,647.14","7.29B","-0.04%"
"2015-4-22","14,749.13","14,529.24","14,756.15","14,510.93","7.28B","2.15%"
"2015-4-21","14,439.00","13,882.44","14,439.00","13,882.44","6.91B","4.09%"
"2015-4-20","13,871.60","14,132.83","14,288.33","13,814.96","7.79B","-1.96%"
"2015-4-17","14,149.34","14,120.77","14,249.47","14,039.04","6.78B","1.30%"
"2015-4-16","13,967.80","13,549.87","14,024.68","13,492.77","4.41B","2.35%"
